trait,attribute,family
head,"flattened, covered with larger, symmetrical",viperidae
nostril,large,viperidae
loreal shield,"small, present",viperidae
eye,vertically elliptic pupil,viperidae
scales,"smooth, in 17 longitudinal rows at midbody",viperidae
ventrals,180-18,viperidae
subcaudals,"42-53, mostly paired, occasionally anterior shields undivided",viperidae
color,"blackish above, scales often edged with gray",viperidae
crossbands,"14–15 narrow white or pinkish, sometimes interrupted middorsally, or alternating with one another laterally",viperidae
head,yellow with a pair of dark brown to black stripes of somewhat irregular width extending from prefrontals to the neck,viperidae
total length males,925 mm,viperidae
total length females,820 mm,viperidae
tail length males,100 mm,viperidae
tail length females,80 mm,viperidae
ventral surface,"black, with a yellow median line",viperidae
pterygoideum,11 teeth,viperidae
angulare,very small,viperidae
dentale,13–14 teeth,viperidae
quadratum,"long, directed downwards and backward",viperidae
trunk vertebrae,167 – 179,viperidae
caudal vertebrae,45 – 49,viperidae
head scaling,"somewhat similar to that in typical atropos, less strongly keeled, not so markedly elongate",viperidae
outermost row of scales on body,"practically smooth anteriorly, feebly keeled posteriorly",viperidae
body color,almost uniformly khaki to reddish brown above,viperidae
size,apparently a smaller snake than typical atropos,viperidae
elongate scales,"lacking, or greatly reduced",viperidae
dorsal colouration,"drab, usually reddish",viperidae
scutellation,various,viperidae
asr (an interspecific morphological characteristics),fewer than msr,viperidae
ventral scale counts (males),lower than 147-154,viperidae
ventral scale counts (females),lower than 151-155,viperidae
supraorbital ridge,raised,viperidae
ventral scale counts in both sexes,lower,viperidae
circumorbitals,fewer,viperidae
msr,usually 29,viperidae
dorsal blotches,lower number,viperidae
supraorbital 'horns',prominent,viperidae
colour pattern,"contrasting, grey, white and black",viperidae
ventral scale counts,much lower than 115-128,viperidae
subcaudal counts,slightly lower,viperidae
msr,usually 27,viperidae
circumorbitals,higher number,viperidae
'horns',obvious,viperidae
colouration,grey-black-white,viperidae
tails (male),short,viperidae
hemipenes,only reach the 6-7th subcaudal,viperidae
'horns',greatly reduced or absent,viperidae
colour pattern,"bold, contrasting, grey-black-white",viperidae
dorsal blotches,fewer,viperidae
'horns',completely lacks,viperidae
coloration,drab yellowish-brown,viperidae
dorsal blotches,greatly reduced or absent,viperidae
ventralia,a very small number 106- 107,viperidae
ventralia,"containing many round, black spots",viperidae
body shape,relatively slim,viperidae
tail,"remarkably thick and long for caudalis, narrowing only at the tip",viperidae
head scales,"small, keeled, imbricated, 12 on the head top from eye to eye",viperidae
scales around the eye,"12, arranged in a ring",viperidae
scales above the eye,none are horn-like,viperidae
between the eye and the supralabials,3 rows of scales,viperidae
supralabials,11/10,viperidae
sublabials,"3 on each side, in contact with the pair of chin shields",viperidae
chin shields,separated from the first ventral by 4 rows of scales,viperidae
dorsal scales,"strongly keeled, with the exception of the outermost row, which is only weakly keeled in the front of the body. 26-24-17 scales rows",viperidae
ventralia,"107 + 1, subcaudalia 4 + 14/13 + 3 + ½ + 1",viperidae
dorsal color,"sandy, back drawing strongly reduced, only traces of dark ocellates, arranged in two longitudinal rows",viperidae
side color,"especially at the border between the dorsal scales and ventralia round, black spots",viperidae
belly side color,yellowish,viperidae
head + trunk,"217 mm, tail 26 mm",viperidae
lacunolabial,present,viperidae
dorsal keels,nontuberculate,viperidae
infralabials and gulars,pigmented to varying degrees,viperidae
cream round or c-shaped marks,lacking,viperidae
canthorostrals,absent,viperidae
subcaudals,most divided,viperidae
ventrals,192–220,viperidae
subcaudals,55–76,viperidae
loreal,"subtriangular, higher than long",viperidae
canthals,broad,viperidae
canthals,separated by 2–5 scales,viperidae
internasals,in contact,viperidae
postocular stripe,poorly defined or absent,viperidae
dorsum color,"pastel green, finely peppered with black",viperidae
dorsal bands,absent,viperidae
paraventral stripe,"extending length of body, broken yellow",viperidae
lacunolabial,present,viperidae
dorsal keels,nontuberculate,viperidae
infralabials,immaculate,viperidae
gulars,immaculate,viperidae
canthorostrals,absent,viperidae
subcaudals,divided or with few entire,viperidae
ventrals,189–193,viperidae
subcaudals,54–65,viperidae
loreal,subtriangular,viperidae
canthals,narrow,viperidae
internasals,in contact,viperidae
postocular stripe,black and 2–3 temporals high,viperidae
dorsum,"bright green with black and yellow bands, each about one dorsal long",viperidae
dorsal surface of head,green with few black and yellow blotches,viperidae
lacunolabial,present,viperidae
dorsal keels,nontuberculate,viperidae
infralabials and gulars,mottled,viperidae
canthorostrals,absent,viperidae
subcaudals,mostly entire,viperidae
ventrals,203–254,viperidae
subcaudals,66–91,viperidae
loreal,subtriangular,viperidae
canthals,"moderate, separated by 2–4 scales",viperidae
internasals,in contact or separated by a single scale,viperidae
postocular stripe,"black, about two temporals high, and often stippled and obscure",viperidae
dorsum,"banded and with a lichenose pattern of green, black, and yellow",viperidae
row of paraventral spots,yellow,viperidae
venter,heavily pigmented posteriorly,viperidae
intersupraoculars,8-13,viperidae
intersupraoculars,strongly keeled,viperidae
supralabials,8-10,viperidae
prelacunal,none fused,viperidae
infralabials,12-14,viperidae
midbody dorsal scale rows,25-35 usually 27-31 in males and 29-33 in females,viperidae
ventrals in males,155-183,viperidae
ventrals in females,164-190,viperidae
subcaudals in males,38-53,viperidae
subcaudals in females,30-44,viperidae
rhinocerophis,27 mitochondrial characters,viperidae
rhinocerophis,few (1 or 2) palatine teeth,viperidae
rhinocerophis,have the maxillary fang shorter than the height of the maxilla,viperidae
gular scales,black bars on,viperidae
subcaudals,25-55,viperidae
supralabials,high numbers (7-10),viperidae
prelacunal scale,separated from the second supralabial,viperidae
rhinocerophis species,spots between the spades,viperidae
rhinocerophis itapetiningae,trapezoidal markings with spots between them,viperidae
rhinocerophis ammodytoides,checkered pattern,viperidae
lacunolabial,present,viperidae
dorsal keels,nontuberculate,viperidae
infralabials and gulars,immaculate in adults,viperidae
canthorostrals,absent,viperidae
subcaudals,most divided,viperidae
ventrals,166–179,viperidae
subcaudals,49–63,viperidae
loreal,subrectangular and elongate,viperidae
canthals,moderate and separated by 3–5 scales,viperidae
internasals,"separated by 1–3 scales, rarely (9%) in contact",viperidae
postocular stripe,distinct and black,viperidae
dorsum,dull green to brown,viperidae
pattern of subtriangular blotches or french telephone-shaped marks,no adjective,viperidae
black edging of dorsal blotches,2–4 distinctive rows of black blotches on posterior body and base of tail,viperidae
specimens reviewed,"20, 10 females and 10 males",viperidae
figures on back,"18-25, triangular, dark (black to brown), shaped like x, butterflies, or bow ties",viperidae
clear borders,grey to cream,viperidae
lower mouth area,usually yellow,viperidae
belly,uniform cream color,viperidae
male size,up to 160 cm,viperidae
female size,up to 250 cm,viperidae
juvenile males tail tip,"yellow or white, last 10-20 mm",viperidae
base of tail at cloaca in males,expanded,viperidae
head,large,viperidae
eye,"medium sized, elliptical pupil",viperidae
supralabial scales,7-8,viperidae
infralabial scales,8-12,viperidae
loreal scale,1,viperidae
preocular scales,3,viperidae
postocular scales,2-4,viperidae
dorsal scales at midbody,23-33 rows,viperidae
ventral scales,"males 161-216, females 187-240",viperidae
subcaudal scales,"males 57-81, females 46-70",viperidae
anal plate,single,viperidae
dark stripe,from the postocular area to the angle of the mouth,viperidae
body,slightly triangular in shape,viperidae
dorsal scales,strongly keeled,viperidae
termo-receptors,"at the same distance from the eyes and the nostril, in contact with the second upper lip scale",viperidae
mental scale,slightly longer than wide,viperidae
rostral scale,hexagonal in shape,viperidae
genial scales,in a 2+2 arrangement,viperidae
lacunolabial,present,viperidae
dorsal keels,nontuberculate,viperidae
infralabials and gulars pigmentation,pigmented to varying degrees,viperidae
canthorostrals,absent,viperidae
subcaudals,divided,viperidae
ventrals,182–200,viperidae
subcaudals,54–72,viperidae
loreal,"subtriangular, higher than long",viperidae
canthals,"narrow, separated by 3–7 scales",viperidae
internasals,"usually in contact, separated by one scale in 22% of the sample",viperidae
postocular stripe,distinct and brown; two temporals high,viperidae
dorsum,"brown, pattern of subtriangular blotches or french telephone-shaped marks",viperidae
venter,"uniformly and heavily speckled (populations on andean slopes) or with alternating cream and charcoal, square blotches",viperidae
postocular stripes,"well-defined, high, dark brown",viperidae
venter of b. atrox,"rather heavily pigmented and consists of staggered cream and gray to black squares, uniformly and heavily speckled",viperidae
young tail,sharp yellow,viperidae
aging tail,darkens with age but distally black,viperidae
t. barnetti,"small, desert",viperidae
size,smaller,viperidae
subcaudals,lower number,viperidae
terminal scute of the tail,enlarged,viperidae
labials,7-8,viperidae
lower labials,8-11,viperidae
rows of scales,"25, 27, 27",viperidae
ventrals,"197, 206, 209",viperidae
subcaudals,"64, 69 pairs",viperidae
tendency of serpent's color,more or less towards olive,viperidae
brown blotches,obsolete,viperidae
belly color,whitish to yellowish,viperidae
individuals' color varies,light olive with white belly to dark olive-brown with yellowish ventrals,viperidae
supralabials,8 or 9,viperidae
sub-caudal scales,34-52 pairs,viperidae
intersupraocular scales,10-14,viperidae
dorsal scales,25 to 29 rows,viperidae
ventral scales,151-173,viperidae
dorsal scales,full-length keels,viperidae
ventral color,predominantly black,viperidae
post-ocular stripe,"broad, black",viperidae
head pattern,"""cross of two arms"" greenish-gray",viperidae
large dark brown spot,almost black,viperidae
dorsal color,greenish-gray,viperidae
form,"slender, terrestrial lancehead",viperidae
tl,as long as 160cm,viperidae
color pattern,extremely variable,viperidae
dorsal ground color,"tan, brown, gray, yellow, olive, or nearly maroon",viperidae
head color,darker,viperidae
occipital area,diffuse dark markings,viperidae
postorbital stripe,"prominent, dark brown",viperidae
iris color,gold to greenish gold with slightly darker reticulations,viperidae
tongue color,black,viperidae
dorsal pattern,"pale-edged, dark brown trapezoidal or subtriangular markings",viperidae
the configuration of each dorsal marking,"considerable, and often extreme, variation, with elongations, fusions, and fragmentations",viperidae
tail pattern,irregular pale gray markings on a dark ground color,viperidae
venter color,"pale greenish to yellowish white with irregular blotching or a powdering of gray pigment; alternatively, it may be uniformly gray",viperidae
intersupraoculars,5-12,viperidae
supralabials,7-9,viperidae
infralabiais,9-13,viperidae
midbody dorsal scale rows,20-27,viperidae
ventrals,170-216,viperidae
subcaudals,51-71,viperidae
lacunolabial,absent,viperidae
dorsal keels,nontuberculate,viperidae
labials,white with tan or black edges,viperidae
canthorostrals,absent,viperidae
subcaudals,all divided,viperidae
ventrals,154-172,viperidae
subcaudals,37-42,viperidae
loreal,subtriangular,viperidae
canthals,"narrow, separated by 4-6 scales",viperidae
internasals,in contact,viperidae
postocular stripe,"4.5 temporals high, brown edged in black",viperidae
dorsum color,pale brown with dark brown x or v-shaped marks,viperidae
venter color,heavily pigmented with charcoal blotches,viperidae
dorsals,27-33,viperidae
supralabials,9-12,viperidae
infralabials,13-16,viperidae
interoculabials,4,viperidae
bothrops,50 mitochondrial characters,viperidae
bothrops species,four palatine teeth,viperidae
b. moojeni and b. jararacussu,five,viperidae
b. brazili and b. sanctaecrucis,three,viperidae
bothriopsis and bothrops,higher numbers of ventrals (157–236 and 153–227),viperidae
prelacunal,fused to the second supralabial,viperidae
bothrops,brown to black coloration,viperidae
bothrops,lack of a prehensile tail,viperidae
bothrops osbornei and bothrops punctatus,prehensile tails,viperidae
lacunolabial,absent,viperidae
dorsal keels,tuberculate on posterior of body,viperidae
infralabials and some gulars,brown with cream round or c-shaped marks,viperidae
canthorostrals,usually present,viperidae
subcaudals,most divided,viperidae
ventrals,fewer than 160,viperidae
loreal,elongate,viperidae
canthals,moderate and separated by 3–5 scales,viperidae
scales between internasals,1–3,viperidae
postocular stripe,distinct,viperidae
dorsum color,brown to charcoal,viperidae
pattern of bands,with distinctive row of black spots on dorsal row 4 of neck and cream stripe on anterior paraventrals,viperidae
lacunolabial,present,viperidae
dorsal keels,nontuberculate,viperidae
infralabials and gulars,immaculate,viperidae
canthorostrals,absent,viperidae
subcaudals,divided,viperidae
ventrals,179–210,viperidae
subcaudals,44–70,viperidae
loreal,subtriangular,viperidae
canthals,narrow,viperidae
canthals,separated by 4–7 scales,viperidae
internasals,in contact or separated by 1–2 scales,viperidae
postocular stripe,absent or dark brown to gray and narrow,viperidae
dorsum color,gray to brown,viperidae
dorsum pattern,subtriangular blotches,viperidae
venter color,"cream, diffuse pigmentation on edges",viperidae
wavy occipital stripe,extending onto neck,viperidae
bothropoides,38 mitochondrial characters,viperidae
habitat,"terrestrial in grasslands or broad-leaf forests, semiarboreal in atlantic forests",viperidae
interrictals,"fewer, 21-34",viperidae
supralabials,"high numbers, 7-11",viperidae
prelacunal,separate from the second supralabial,viperidae
tail,lack of prehensile,viperidae
color,lack of green,viperidae
gular scales,lack of white spots,viperidae
posterior dorsal scales,lack of tuberculate keels,viperidae
supralabials,intense dark pigmentation with large round white spots,viperidae
dorsolateral blotches,"well-defined contour, white margins",viperidae
occipital blotches,"prolonged, usually surpassing the quadrate-mandibular articulation and fusing to the first pair of dorsolateral blotches of the trunk",viperidae
postcephalic stripes,somewhat short,viperidae
head,without melanism,viperidae
postocular stripe,very marked,viperidae
scales,keels always with the same coloration of the dorsal scales,viperidae
scales,two arrays between the subocular and the 4th supralabial,viperidae
dorsolateral blotches of the trunk,"triangular or semi-lunar format, from 17 to 27",viperidae
lacunolabial,present,viperidae
dorsal keels,nontuberculate,viperidae
infralabials and gulars,immaculate,viperidae
canthorostrals,absent,viperidae
subcaudals,divided,viperidae
ventrals,175–191,viperidae
subcaudals,55–65,viperidae
loreal,subtriangular,viperidae
canthals,"wide, in contact or separated by 1–3 scales",viperidae
internasals,in contact or rarely separated by 1 small scale,viperidae
post-ocular stripe,absent or dark gray to black and narrow: less than one temporal high,viperidae
dorsum color,tan to pale gray with brown x-shaped or “french telephone”-shaped marks first edged in cream then in black,viperidae
"venter, labials, and chin",immaculate cream,viperidae
tail color,distal one-half of tail black in adults,viperidae
head shape,"broad, more or less triangular, flat",viperidae
neck,distinct from head,viperidae
snout,rather short and broad,viperidae
eyes,"moderately large, directed laterally",viperidae
pupil,vertical,viperidae
hornlike scale above each eye,"single, large, ribbed",viperidae
body,"cylindrical, stout, short",viperidae
tail,short,viperidae
total length,"50-60 cm, occasionally reaching 80 cm",viperidae
scales on upper head,"small, with tubercular keels",viperidae
rostral,"small, transversally linear",viperidae
nostrils,directed upwards,viperidae
scales around the eye,14-18,viperidae
suboculars row,4-5,viperidae
supralabials,12-15,viperidae
dorsal scales,"keeled, imbricate",viperidae
rows of dorsal scales at midbody,26-37,viperidae
lateral scales,with serrated keels,viperidae
ventral scales,130-172,viperidae
subcaudals,25-42,viperidae
basic colour of the upper side,"sand-coloured yellow, pale yellowish brown, greyish, orange-brown, reddish or brick-red",viperidae
darker markings,"four to six longitudinal series of dark brown or greyish brown, occasionally sky-blue spots",viperidae
venter,white or yellowish,viperidae
tail-tip,sometimes blackish,viperidae
sexual dimorphism,females attain a larger total length than males,viperidae
interocular scales,15-21,viperidae
horn,"yes, each eye",viperidae
ventrals - male,151-162,viperidae
ventrals - female,153-172,viperidae
nasal shield,large,viperidae
nasal shield,separated from rostral and first supralabial by one row of scales,viperidae
enlarged supranasal,no adjective,viperidae
the scale bordering the supranasal anteriorly,enlarged,viperidae
cluster of enlarged scales on the mid-occipital region,without,viperidae
tail,short,viperidae
tail / total length,0.07-0.14,viperidae
nostril,slit-like,viperidae
supralabials,11-13,viperidae
eye,moderate,viperidae
eye & supralabials distance,separated by 3-4 scales,viperidae
scales on dorsal side of head,"large, imbricate, 8-13 interorbitals",viperidae
dorsals,"strongly keeled, 23-29 scale rows around mid-body",viperidae
ventrals,102-120,viperidae
subcaudals,"18-26, paired",viperidae
anal,entire,viperidae
dorsum color,sandy beige,viperidae
dorsum pattern,small round spots in alternating rows along the back,viperidae
tail color and length,sexually dimorphic,viperidae
female tail,"shorter, black",viperidae
male tail,"longer, coloration as the dorsum",viperidae
venter color,plain white,viperidae
animals from the western mediterranean coastal plain,"reddish in color, more coarsely scaled",viperidae
ventrals and supralabials,"higher number in warmer, more southern localities",viperidae
subcaudals,single,viperidae
rows of scales,17,viperidae
frontal shield,enlarged,viperidae
rostral,"wider than high, front surface flat",viperidae
preoculars,"three, upper largest, entire, and squarish, lower forming posterior border of pit and excluded from orbit",viperidae
supraocular above eye,"single, large, flat, plate-like",viperidae
supralabials,seven to 11,viperidae
infralabials,eight to 12,viperidae
canthals and internasals,relatively large and flat,viperidae
intersupraoculars,two to seven,viperidae
crown of head,"covered with variably sized, flat or keeled scales",viperidae
keeling in parietal area,prominent,viperidae
second supralabial,discrete from prelacunal,viperidae
supralabial and subocular series,in contact or separated by single row of scales,viperidae
middorsal dorsal scale rows,19–23,viperidae
mid-dorsal scales at midbody,moderately slender and pointed,viperidae
ventrals,120–150,viperidae
undivided subcaudals,22–36,viperidae
tail spine,"straight, moderately long",viperidae
lateral edge of nasal,"broadly expanded, bone roughly quadrangular",viperidae
frontal bones,"mostly flat, dorsal surface with slightly elevated margins, longer than wide",viperidae
postfrontal,"large, not reaching frontal, transverse distance of postfrontal greater than its distance along parietal bone",viperidae
posterolateral edges of dorsal surface of parietals,forming low to moderately distinct raised ridge continuing posteriorly on parietal as low ridge,viperidae
junction between parietal and prootic,rounded to almost flat,viperidae
squamosal,extending to level posterior to posterior edge of exoccipital,viperidae
ectopterygoid,"about same length as expanded, flattened base of pterygoid (posterior to the articulation with ectopterygoid) with flat shaft gradually tapering posteriorly",viperidae
dorsal surface of parietal,roughly triangular to sometimes rounded,viperidae
palatine teeth,three to five,viperidae
pterygoid teeth,seven to 18,viperidae
dentary teeth,eight to 16,viperidae
pterygoid teeth,"extending just posterior to level of articulation of pterygoid with ectopterygoid in c. godmani, but not reaching this far back in congeners",viperidae
maxillary fang,"relatively short, being about equal in length to height of maxilla",viperidae
fang at rest,extending to level of about middle of supralabial 5 or suture between supralabials 5–6,viperidae
head size,relatively long,viperidae
canthal ridge,distinct and raised,viperidae
canthals,usually two,viperidae
scales across the top of the head,3–7,viperidae
scales in the frontal region between supraoculars,"vary from being a single median scale to small, keeled scales approximately of the same size",viperidae
supraoculars,broad,viperidae
nasal,divided,viperidae
prefoveals,2–5,viperidae
prelacunal,single,viperidae
loreal,single,viperidae
subfoveals,0–2,viperidae
preoculars,three,viperidae
supralabials,8–11,viperidae
infralabials,9–13,viperidae
ventrals,132–150,viperidae
undivided subcaudals,22–36,viperidae
middorsal scale rows,usually 21,viperidae
cloacal scute,undivided,viperidae
tail,relatively short and non-prehensile,viperidae
head,subtriangular,viperidae
anterior frontals,"2, in contact",viperidae
superciliaries,"bordered by a row of larger scales, anterior much largest",viperidae
labials,"16 above; 1st, 5th, and 7th largest; 15 below, 1st and 3d largest",viperidae
dorsal rows,25-27,viperidae
tail,3-6 half rings,viperidae
color,yellowish brown,viperidae
dorsal lozenges,"continuous succession, sometimes truncate before and behind intervals all narrow",viperidae
above color,dull yellowish brown,viperidae
subhexagonal patches,"from the head nearly to the tail, in an uninterrupted series, separated throughout by narrow lines",viperidae
rhomboids,longer in proportion and more rounded,viperidae
lateral rows of scales,"2, smooth",viperidae
dorsal blotches,greater comparative size of the interval between,viperidae
scales,narrower,viperidae
head,more narrow,viperidae
intersuperciliary scales,fewer and larger,viperidae
head color,lighter,viperidae
beneath color,"uniform yellowish, slightly clouded on the sides of the scales",viperidae
tail blotches,"confluent into 3 or 6 dark brown half rings, interrupted on the under surface",viperidae
head,"narrower light line from the posterior end of the superciliary backward, directly to the angle of the mouth; a second from the anterior extremity, nearly parallel with the first",viperidae
form,stunted,viperidae
color pattern,distinctive,viperidae
internasals,oddly-shaped,viperidae
postcanthal,excessively large,viperidae
preocular,separated from the postnasal,viperidae
first infralabials,not divided transversely,viperidae
dorsal blotches,surrounded by well-defined light scales,viperidae
punctations on the dorsal ground color,fewer,viperidae
ground color,very dark brown,viperidae
blotches and spotting,darker,viperidae
proximal rattle segment,black,viperidae
posterior body crossbands,10-12,viperidae
lacunal(s),wholly or partly separated,viperidae
subfoveals,1-3,viperidae
scales,"3, average",viperidae
scale rows,25-25-21,viperidae
scales,strongly keeled,viperidae
ventrals,162,viperidae
subcaudals,29,viperidae
supralabials,13 — 13,viperidae
infralabials,13 — 14,viperidae
mental,triangular,viperidae
rostral,wider than high,viperidae
internasals,2,viperidae
nasals,2-2,viperidae
loreals,2,viperidae
preoculars,2,viperidae
canthals,3,viperidae
prefoveals,6-4,viperidae
subfoveals,3-3,viperidae
postfoveals,2-2,viperidae
rattle,14 segments,viperidae
snakes of the genus crotalus,small to large,viperidae
tail,moderate to extremely short,viperidae
